property_id,serial_number,mac_address,ip_address,name,type,room,building,community,jack,,
A016176,BN0012324,000B868113C0,10.151.172.29,slo-rw171a-a303-l,5,A303-L,Aliso,Poly Canyon Village,W,,
A016177,BN0012323,000B868113BB,10.151.172.30,slo-rw171a-303-b,2.4,A303-B,Aliso,Poly Canyon Village,W,,
A016178,BN0012263,000B8681128F,10.151.172.31,slo-rw171a-a303-am,AM,A303-D,Aliso,Poly Canyon Village,W,,
A016179,BN0012327,000B868113CF,10.151.172.32,slo-rw171a-a304-l,5,A304-L,Aliso,Poly Canyon Village,W,,
A016180,BN0012325,000B868113C5,10.151.172.33,slo-rw171a-a304-b,2.4,A304-B,Aliso,Poly Canyon Village,W,,
A016181,BN0012328,000B868113D4,10.151.172.34,slo-rw171a-a305-l,5,A305-L,Aliso,Poly Canyon Village,W,,
A016182,BN0012013,000B86810DAD,10.151.172.35,slo-rw171a-a305-b,2.4,A305-B,Aliso,Poly Canyon Village,W,,
A016183,BN0012331,000B868113E3,10.151.171.31,slo-rw171a-a306-l,5,A306-L,Aliso,Poly Canyon Village,W,,
A016184,BN0012347,000B86811433,10.151.171.32,slo-rw171a-a306-c,2.4,A306-C,Aliso,Poly Canyon Village,W,,
A016185,BN0012350,000B86811442,10.151.171.33,slo-rw171a-a306-am,AM,A306-A,Aliso,Poly Canyon Village,W,,
A016186,BN0012326,000B868113CA,10.151.171.34,slo-rw171a-a307-l,5,A307-L,Aliso,Poly Canyon Village,W,,
A016187,BN0012358,000B8681146A,10.151.171.35,slo-rw171a-a307-b,2.4,A307-B,Aliso,Poly Canyon Village,W,,
A016188,BN0012306,000B86811366,10.151.171.36,slo-rw171a-a307-am,AM,A307-D,Aliso,Poly Canyon Village,W,,
A016189,BN0012298,000B8681133E,10.151.171.37,slo-rw171a-a308-l,5,A308-L,Aliso,Poly Canyon Village,W,,
A016190,BN0012283,000B868112F3,10.151.171.38,slo-rw171a-a308-c,2.4,A308-C,Aliso,Poly Canyon Village,W,,
A016191,BN0012359,000B8681146F,10.151.171.39,slo-rw171a-a309-l,5,A309-L,Aliso,Poly Canyon Village,W,,
A016192,BN0012348,000B86811438,10.151.171.40,slo-rw171a-a309-c,2.4,A309-C,Aliso,Poly Canyon Village,W,,
A016193,BN0012308,000B86811370,10.151.171.41,slo-rw171a-a310-l,5,A310-L,Aliso,Poly Canyon Village,W,,
A016194,BN0012440,000B86811604,10.151.171.42,slo-rw171a-a310-b,2.4,A310-B,Aliso,Poly Canyon Village,W,,
A016195,BN0012452,000B86811640,10.151.171.43,slo-rw171a-a311-b,2.4,A311-B,Aliso,Poly Canyon Village,W,,
A016196,BN0012423,000B868115AF,10.151.171.44,slo-rw171a-a311-c,5,A311-C,Aliso,Poly Canyon Village,W,,
A016197,BN0012402,000B86811546,10.151.161.15,slo-rw171a-a312-l,5,A312-L,Aliso,Poly Canyon Village,W,,
A016198,BN0012458,000B8681165E,10.151.161.16,slo-rw171a-a312-c,2.4,A312-C,Aliso,Poly Canyon Village,W,,
A016199,BN0012455,000B8681164F,10.151.161.17,slo-rw171a-313-l,5,A313-L,Aliso,Poly Canyon Village,W,,
A016200,BN0012408,000B86811564,10.151.161.18,slo-rw171a-a313-c,2.4,A313-C,Aliso,Poly Canyon Village,W,,
A019315,BN0047726,000B869D468A,10.151.161.19,slo-rw171a-a313-am,AM,A313-A,Aliso,Poly Canyon Village,W,,
A016202,BN0012453,000B86811645,10.151.161.20,slo-rw171a-a314-b,2.4,A314-B,Aliso,Poly Canyon Village,W,,
A016203,BN0012469,000B86811695,10.151.161.21,slo-rw171a-a314-c,5,A314-C,Aliso,Poly Canyon Village,W,,
A016204,BN0017018,000B86816F6E,10.151.172.36,slo-rw171a-a319-sr,2.4,A319,Aliso,Poly Canyon Village,W,,
A016205,BN0016168,000B86815ED4,10.151.171.45,slo-rw171a-a320-sr,2.4,A320,Aliso,Poly Canyon Village,W,,
A016206,BN0016763,000B86816A73,10.151.172.37,slo-rw171a-a401-b,5,A401-B,Aliso,Poly Canyon Village,W,,
A016207,BN0016762,000B86816A6E,10.151.172.38,slo-rw171a-a401-c,2.4,A401-C,Aliso,Poly Canyon Village,W,,
A016208,BN0016760,000B86816A64,10.151.172.39,slo-rw171a-a402-l,5,A402-L,Aliso,Poly Canyon Village,W,,
A016209,BN0017003,000B86816F23,10.151.172.40,slo-rw171a-a402-c,2.4,A402-C,Aliso,Poly Canyon Village,W,,
A016210,BN0016257,000B86816091,10.151.172.41,slo-rw171a-a403-l,5,A403-L,Aliso,Poly Canyon Village,W,,
A016211,BN0016161,000B86815EB1,10.151.172.42,slo-rw171a-a403-b,2.4,A403-B,Aliso,Poly Canyon Village,W,,
A016212,BN0016212,000B86815FB0,10.151.172.43,slo-rw171a-a403-am,AM,A403-D,Aliso,Poly Canyon Village,W,,
A016213,BN0016170,000B86815EDE,10.151.172.44,slo-rw171a-a404-l,5,A404-L,Aliso,Poly Canyon Village,W,,
A016214,BN0016966,000B86816E6A,10.151.172.45,slo-rw171a-a404-b,2.4,A404-B,Aliso,Poly Canyon Village,W,,
A016215,BN0016981,000B86816EB5,10.151.172.46,slo-rw171a-a405-l,5,A405-L,Aliso,Poly Canyon Village,W,,
A016216,BN0016929,000B86816DB1,10.151.172.47,slo-rw171a-a405-b,2.4,A405-B,Aliso,Poly Canyon Village,W,,
A016217,BN0016973,000B86816E8D,10.151.171.46,slo-rw171a-a406-l,5,A406-L,Aliso,Poly Canyon Village,W,,
A016218,BN0016964,000B86816E60,10.151.171.47,slo-rw171a-a406-c,2.4,A406-C,Aliso,Poly Canyon Village,W,,
A016219,BN0016963,000B86816E5B,10.151.171.48,slo-rw171a-a406-am,AM,A406-A,Aliso,Poly Canyon Village,W,,
A016220,BN0016978,000B86816EA6,10.151.171.49,slo-rw171a-a407-l,5,A407-L,Aliso,Poly Canyon Village,W,,
A016221,BN0016984,000B86816EC4,10.151.171.50,slo-rw171a-a407-b,2.4,A407-B,Aliso,Poly Canyon Village,W,,
